n,tipoCurto,Ia_Entrada,Va_Entrada,Ia_Saida,Va_Saida
0.01,1,18.334807,7514.0672,31.753842,1595.0573
0.02,1,18.299536,7515.077,31.692746,1599.3824
0.03,1,18.264391,7516.0829,31.631867,1603.7119
0.04,1,18.22937,7517.0849,31.571205,1608.0457
0.05,1,18.194473,7518.083,31.510757,1612.3832
0.06,1,18.1597,7519.0773,31.450524,1616.7242
0.07,1,18.12505,7520.0677,31.390503,1621.0684
0.08,1,18.090522,7521.0542,31.330695,1625.4155
0.09,1,18.056117,7522.037,31.271098,1629.7652
0.1,1,18.021832,7523.0159,31.21171,1634.1172
0.11,1,17.987668,7523.9911,31.152532,1638.4712
0.12,1,17.953624,7524.9626,31.093562,1642.827
0.13,1,17.9197,7525.9302,31.034798,1647.1842
0.14,1,17.885894,7526.8942,30.976241,1651.5427
0.15,1,17.852207,7527.8545,30.917889,1655.9021
0.16,1,17.818638,7528.8111,30.85974,1660.2622
0.17,1,17.785186,7529.764,30.801795,1664.6228
0.18,1,17.75185,7530.7133,30.744052,1668.9835
0.19,1,17.718631,7531.659,30.68651,1673.3443
0.2,1,17.685527,7532.601,30.629168,1677.7048
0.21,1,17.652538,7533.5395,30.572025,1682.0648
0.22,1,17.619664,7534.4744,30.515081,1686.4241
0.23,1,17.586904,7535.4057,30.458334,1690.7826
0.24,1,17.554256,7536.3335,30.401783,1695.1399
0.25,1,17.521722,7537.2578,30.345428,1699.4959
0.26,1,17.4893,7538.1785,30.289267,1703.8503
0.27,1,17.45699,7539.0958,30.2333,1708.2031
0.28,1,17.424791,7540.0096,30.177525,1712.5539
0.29,1,17.392703,7540.92,30.121943,1716.9026
0.3,1,17.360725,7541.8269,30.066551,1721.2491
0.31,1,17.328856,7542.7305,30.011349,1725.5931
0.32,1,17.297097,7543.6306,29.956336,1729.9345
0.33,1,17.265447,7544.5273,29.901511,1734.2731
0.34,1,17.233904,7545.4207,29.846874,1738.6087
0.35,1,17.202469,7546.3107,29.792423,1742.9412
0.36,1,17.171141,7547.1974,29.738157,1747.2704
0.37,1,17.13992,7548.0808,29.684076,1751.5962
0.38,1,17.108805,7548.9608,29.630179,1755.9184
0.39,1,17.077795,7549.8376,29.576465,1760.2369
0.4,1,17.046891,7550.7111,29.522933,1764.5515
0.41,1,17.016091,7551.5814,29.469582,1768.8621
0.42,1,16.985395,7552.4484,29.416411,1773.1686
0.43,1,16.954803,7553.3122,29.36342,1777.4708
0.44,1,16.924314,7554.1728,29.310607,1781.7686
0.45,1,16.893928,7555.0302,29.257973,1786.0618
0.46,1,16.863644,7555.8845,29.205515,1790.3504
0.47,1,16.833462,7556.7356,29.153234,1794.6342
0.48,1,16.803381,7557.5835,29.101128,1798.9132
0.49,1,16.7734,7558.4283,29.049196,1803.1871
0.5,1,16.74352,7559.27,28.997439,1807.4559
0.51,1,16.71374,7560.1087,28.945854,1811.7195
0.52,1,16.684059,7560.9442,28.894441,1815.9778
0.53,1,16.654477,7561.7766,28.8432,1820.2307
0.54,1,16.624994,7562.6061,28.792129,1824.478
0.55,1,16.595608,7563.4324,28.741228,1828.7197
0.56,1,16.56632,7564.2558,28.690496,1832.9557
0.57,1,16.537129,7565.0762,28.639932,1837.1859
0.58,1,16.508035,7565.8935,28.589535,1841.4102
0.59,1,16.479037,7566.7079,28.539305,1845.6285
0.6,1,16.450135,7567.5193,28.489241,1849.8407
0.61,1,16.421328,7568.3278,28.439343,1854.0468
0.62,1,16.392616,7569.1333,28.389608,1858.2466
0.63,1,16.363998,7569.9359,28.340037,1862.4402
0.64,1,16.335474,7570.7357,28.290629,1866.6274
0.65,1,16.307044,7571.5325,28.241383,1870.8081
0.66,1,16.278707,7572.3264,28.192298,1874.9822
0.67,1,16.250463,7573.1175,28.143374,1879.1498
0.68,1,16.222311,7573.9057,28.09461,1883.3108
0.69,1,16.194251,7574.6911,28.046005,1887.4649
0.7,1,16.166283,7575.4737,27.997558,1891.6124
0.71,1,16.138405,7576.2535,27.949269,1895.7529
0.72,1,16.110618,7577.0304,27.901137,1899.8865
0.73,1,16.082921,7577.8046,27.853162,1904.0132
0.74,1,16.055315,7578.576,27.805341,1908.1328
0.75,1,16.027797,7579.3447,27.757676,1912.2454
0.76,1,16.000369,7580.1106,27.710165,1916.3508
0.77,1,15.973029,7580.8738,27.662807,1920.449
0.78,1,15.945777,7581.6343,27.615603,1924.54
0.79,1,15.918613,7582.3921,27.56855,1928.6237
0.8,1,15.891537,7583.1472,27.521648,1932.7001
0.81,1,15.864547,7583.8996,27.474898,1936.7691
0.82,1,15.837644,7584.6493,27.428297,1940.8307
0.83,1,15.810827,7585.3964,27.381846,1944.8849
0.84,1,15.784097,7586.1409,27.335543,1948.9315
0.85,1,15.757451,7586.8827,27.289388,1952.9706
0.86,1,15.730891,7587.6219,27.243381,1957.0021
0.87,1,15.704415,7588.3585,27.19752,1961.026
0.88,1,15.678024,7589.0926,27.151806,1965.0422
0.89,1,15.651716,7589.824,27.106236,1969.0508
0.9,1,15.625492,7590.5529,27.060812,1973.0517
0.91,1,15.599352,7591.2793,27.015531,1977.0448
0.92,1,15.573294,7592.0031,26.970394,1981.0301
0.93,1,15.547318,7592.7243,26.9254,1985.0076
0.94,1,15.521425,7593.4431,26.880548,1988.9773
0.95,1,15.495613,7594.1593,26.835838,1992.9391
0.96,1,15.469883,7594.8731,26.791268,1996.8931
0.97,1,15.444233,7595.5844,26.746839,2000.8391
0.98,1,15.418665,7596.2932,26.702549,2004.7772
0.99,1,15.393176,7596.9996,26.658398,2008.7073
