n,tipoCurto,Ia_Entrada,Va_Entrada,Ia_Saida,Va_Saida
0.01,1,20.800325,7411.9436,36.025262,10.785635
0.02,1,20.763584,7412.9527,35.961617,21.532881
0.03,1,20.726925,7413.9609,35.898112,32.242145
0.04,1,20.690346,7414.968,35.834748,42.913552
0.05,1,20.653849,7415.9741,35.771524,53.547229
0.06,1,20.617432,7416.9792,35.708441,64.143303
0.07,1,20.581097,7417.9833,35.645498,74.701899
0.08,1,20.544843,7418.9862,35.582696,85.223145
0.09,1,20.508671,7419.988,35.520035,95.707166
0.1,1,20.472579,7420.9888,35.457515,106.15409
0.11,1,20.43657,7421.9883,35.395137,116.56405
0.12,1,20.400642,7422.9867,35.332899,126.93716
0.13,1,20.364795,7423.9839,35.270803,137.27355
0.14,1,20.32903,7424.9799,35.208848,147.57336
0.15,1,20.293347,7425.9747,35.147034,157.8367
0.16,1,20.257745,7426.9683,35.085362,168.06372
0.17,1,20.222225,7427.9605,35.023832,178.25452
0.18,1,20.186786,7428.9515,34.962443,188.40924
0.19,1,20.15143,7429.9412,34.901195,198.52802
0.2,1,20.116155,7430.9296,34.840089,208.61096
0.21,1,20.080962,7431.9166,34.779125,218.65821
0.22,1,20.04585,7432.9023,34.718303,228.66989
0.23,1,20.01082,7433.8866,34.657622,238.64613
0.24,1,19.975872,7434.8695,34.597082,248.58705
0.25,1,19.941006,7435.851,34.536685,258.49278
0.26,1,19.906222,7436.8311,34.476429,268.36345
0.27,1,19.871519,7437.8098,34.416314,278.19918
0.28,1,19.836898,7438.787,34.356341,288.00011
0.29,1,19.802359,7439.7628,34.29651,297.76635
0.3,1,19.767901,7440.737,34.23682,307.49804
0.31,1,19.733525,7441.7098,34.177271,317.19531
0.32,1,19.699231,7442.6811,34.117864,326.85827
0.33,1,19.665018,7443.6508,34.058599,336.48706
0.34,1,19.630887,7444.6191,33.999474,346.0818
0.35,1,19.596837,7445.5857,33.940491,355.64261
0.36,1,19.562869,7446.5508,33.881649,365.16964
0.37,1,19.528982,7447.5144,33.822948,374.66299
0.38,1,19.495177,7448.4763,33.764388,384.12279
0.39,1,19.461453,7449.4367,33.705969,393.54918
0.4,1,19.42781,7450.3954,33.64769,402.94228
0.41,1,19.394248,7451.3525,33.589553,412.30221
0.42,1,19.360768,7452.308,33.531556,421.62909
0.43,1,19.327368,7453.2619,33.473699,430.92306
0.44,1,19.29405,7454.2141,33.415983,440.18423
0.45,1,19.260813,7455.1646,33.358407,449.41273
0.46,1,19.227656,7456.1135,33.300971,458.60869
0.47,1,19.194581,7457.0606,33.243675,467.77223
0.48,1,19.161586,7458.0061,33.18652,476.90348
0.49,1,19.128672,7458.9499,33.129503,486.00255
0.5,1,19.095838,7459.8919,33.072627,495.06957
0.51,1,19.063085,7460.8323,33.01589,504.10466
0.52,1,19.030412,7461.7709,32.959292,513.10795
0.53,1,18.99782,7462.7078,32.902834,522.07956
0.54,1,18.965308,7463.6429,32.846514,531.01961
0.55,1,18.932876,7464.5762,32.790333,539.92823
0.56,1,18.900524,7465.5078,32.734292,548.80553
0.57,1,18.868252,7466.4377,32.678388,557.65164
0.58,1,18.83606,7467.3657,32.622623,566.46668
0.59,1,18.803947,7468.292,32.566996,575.25078
0.6,1,18.771915,7469.2164,32.511507,584.00404
0.61,1,18.739962,7470.1391,32.456156,592.72659
0.62,1,18.708088,7471.06,32.400943,601.41856
0.63,1,18.676294,7471.979,32.345867,610.08006
0.64,1,18.644579,7472.8962,32.290928,618.71121
0.65,1,18.612943,7473.8116,32.236127,627.31214
0.66,1,18.581386,7474.7252,32.181462,635.88295
0.67,1,18.549908,7475.6369,32.126934,644.42378
0.68,1,18.518509,7476.5468,32.072542,652.93473
0.69,1,18.487188,7477.4548,32.018287,661.41594
0.7,1,18.455946,7478.3609,31.964168,669.8675
0.71,1,18.424782,7479.2652,31.910184,678.28955
0.72,1,18.393697,7480.1677,31.856337,686.6822
0.73,1,18.36269,7481.0683,31.802624,695.04557
0.74,1,18.331761,7481.9669,31.749047,703.37977
0.75,1,18.30091,7482.8638,31.695605,711.68493
0.76,1,18.270136,7483.7587,31.642298,719.96115
0.77,1,18.23944,7484.6517,31.589125,728.20855
0.78,1,18.208822,7485.5429,31.536086,736.42725
0.79,1,18.178281,7486.4321,31.483182,744.61736
0.8,1,18.147818,7487.3195,31.430411,752.779
0.81,1,18.117431,7488.2049,31.377774,760.91228
0.82,1,18.087122,7489.0885,31.32527,769.01732
0.83,1,18.056889,7489.9701,31.2729,777.09423
0.84,1,18.026733,7490.8498,31.220662,785.14312
0.85,1,17.996654,7491.7276,31.168557,793.16411
0.86,1,17.966651,7492.6035,31.116584,801.15731
0.87,1,17.936724,7493.4775,31.064743,809.12284
0.88,1,17.906873,7494.3495,31.013034,817.06079
0.89,1,17.877099,7495.2196,30.961457,824.97129
0.9,1,17.8474,7496.0878,30.910012,832.85445
0.91,1,17.817777,7496.9541,30.858697,840.71037
0.92,1,17.788229,7497.8184,30.807513,848.53918
0.93,1,17.758757,7498.6807,30.75646,856.34097
0.94,1,17.72936,7499.5412,30.705537,864.11586
0.95,1,17.700038,7500.3997,30.654744,871.86396
0.96,1,17.670791,7501.2563,30.604081,879.58538
0.97,1,17.641619,7502.1109,30.553548,887.28023
0.98,1,17.612522,7502.9636,30.503143,894.94861
0.99,1,17.583499,7503.8143,30.452868,902.59063
