n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,1,29.1980735,29.2017435,58.3998097,13799.4142,12980.8688,11469.8401,87.5850821,0.00549680615,87.5879078,5487.9914,8665.60169,4474.71181
0.02,1,29.1031886,29.1068618,58.2100431,13799.4144,12983.934,11477.513,87.3003985,0.00550669632,87.3032384,5494.46182,8663.00594,4480.53407
0.03,1,29.0089127,29.0125892,58.0214945,13799.4146,12986.9768,11485.1363,87.0175422,0.0055165416,87.0203962,5500.90591,8660.42866,4486.37715
0.04,1,28.9152401,28.9189197,57.8341524,13799.4148,12989.9976,11492.7107,86.7364959,0.00552634213,86.739364,5507.32371,8657.86964,4492.24004
0.05,1,28.8221651,28.8258478,57.6480054,13799.415,12992.9966,11500.2365,86.4572424,0.00553609805,86.4601244,5513.71525,8655.32872,4498.12177
0.06,1,28.7296819,28.7333678,57.4630422,13799.4152,12995.9739,11507.7142,86.1797648,0.0055458095,86.1826606,5520.08059,8652.80569,4504.02139
0.07,1,28.637785,28.641474,57.2792516,13799.4154,12998.9298,11515.1442,85.9040463,0.00555547662,85.9069559,5526.41978,8650.30038,4509.93797
0.08,1,28.546469,28.5501611,57.0966226,13799.4157,13001.8646,11522.527,85.6300705,0.00556509958,85.6329937,5532.73288,8647.8126,4515.87061
0.09,1,28.4557283,28.4594235,56.9151443,13799.4159,13004.7785,11529.8631,85.3578209,0.00557467853,85.3607577,5539.01995,8645.34218,4521.81843
0.1,1,28.3655577,28.3692559,56.734806,13799.4161,13007.6716,11537.1528,85.0872816,0.00558421362,85.0902319,5545.28103,8642.88895,4527.78057
0.11,1,28.2759517,28.279653,56.5555971,13799.4163,13010.5442,11544.3967,84.8184365,0.00559370501,84.8214002,5551.5162,8640.45272,4533.75619
0.12,1,28.1869053,28.1906095,56.3775071,13799.4165,13013.3965,11551.595,84.55127,0.00560315287,84.554247,5557.72552,8638.03333,4539.74449
0.13,1,28.098413,28.1021203,56.2005257,13799.4167,13016.2287,11558.7483,84.2857664,0.00561255737,84.2887567,5563.90905,8635.63062,4545.74466
0.14,1,28.01047,28.0141802,56.0246425,13799.4169,13019.0411,11565.857,84.0219106,0.00562191867,84.024914,5570.06687,8633.2444,4551.75593
0.15,1,27.9230711,27.9267842,55.8498476,13799.4171,13021.8338,11572.9214,83.7596873,0.00563123694,83.7627038,5576.19905,8630.87452,4557.77755
0.16,1,27.8362113,27.8399274,55.6761309,13799.4173,13024.607,11579.942,83.4990815,0.00564051236,83.502111,5582.30565,8628.52082,4563.80878
0.17,1,27.7498857,27.7536047,55.5034826,13799.4175,13027.3609,11586.9191,83.2400786,0.0056497451,83.2431209,5588.38675,8626.18314,4569.8489
0.18,1,27.6640894,27.6678113,55.331893,13799.4177,13030.0958,11593.8533,82.9826637,0.00565893535,82.9857189,5594.44243,8623.86131,4575.89723
0.19,1,27.5788177,27.5825425,55.1613523,13799.4178,13032.8118,11600.7447,82.7268226,0.00566808327,82.7298905,5600.47277,8621.55518,4581.95307
0.2,1,27.4940657,27.4977933,54.9918512,13799.418,13035.5091,11607.594,82.4725409,0.00567718905,82.4756215,5606.47784,8619.2646,4588.01577
0.21,1,27.4098288,27.4135593,54.8233802,13799.4182,13038.1879,11614.4013,82.2198046,0.00568625288,82.2228978,5612.45773,8616.98942,4594.08467
0.22,1,27.3261023,27.3298356,54.65593,13799.4184,13040.8484,11621.1671,81.9685997,0.00569527493,81.9717055,5618.41251,8614.72948,4600.15916
0.23,1,27.2428817,27.2466177,54.4894915,13799.4186,13043.4908,11627.8918,81.7189125,0.00570425539,81.7220307,5624.34228,8612.48463,4606.23862
0.24,1,27.1601623,27.1639012,54.3240556,13799.4188,13046.1152,11634.5758,81.4707294,0.00571319445,81.4738599,5630.24712,8610.25474,4612.32246
0.25,1,27.0779398,27.0816814,54.1596133,13799.419,13048.7219,11641.2193,81.2240369,0.0057220923,81.2271797,5636.12711,8608.03965,4618.41009
0.26,1,26.9962097,26.9999541,53.9961558,13799.4192,13051.3109,11647.8228,80.9788218,0.00573094912,80.9819768,5641.98234,8605.83922,4624.50094
0.27,1,26.9149676,26.9187147,53.8336743,13799.4194,13053.8826,11654.3866,80.7350709,0.00573976511,80.7382381,5647.8129,8603.65331,4630.59448
0.28,1,26.8342092,26.8379591,53.6721603,13799.4196,13056.437,11660.9111,80.4927713,0.00574854046,80.4959505,5653.61889,8601.48179,4636.69015
0.29,1,26.7539303,26.7576828,53.5116051,13799.4197,13058.9743,11667.3966,80.2519101,0.00575727535,80.2551013,5659.40038,8599.32451,4642.78745
0.3,1,26.6741266,26.6778818,53.3520003,13799.4199,13061.4947,11673.8434,80.0124747,0.00576596999,80.0156778,5665.15747,8597.18134,4648.88586
0.31,1,26.5947939,26.5985518,53.1933375,13799.4201,13063.9983,11680.2519,79.7744526,0.00577462456,79.7776676,5670.89026,8595.05214,4654.98489
0.32,1,26.5159281,26.5196886,53.0356086,13799.4203,13066.4854,11686.6225,79.5378314,0.00578323926,79.5410581,5676.59884,8592.93678,4661.08405
0.33,1,26.4375252,26.4412883,52.8788053,13799.4205,13068.9561,11692.9554,79.3025988,0.00579181428,79.3058372,5682.2833,8590.83513,4667.18289
