n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,1,37.9016422,37.9186112,75.8202496,13799.4452,11646.3632,10988.5669,113.718836,0.00633252013,113.724782,6307.78587,7497.18919,1261.15175
0.02,1,37.765454,37.7823817,75.5478318,13799.4452,11658.6983,10995.5218,113.310146,0.00634646954,113.3161,6301.8365,7504.08268,1283.46711
0.03,1,37.6300462,37.6469327,75.276975,13799.4452,11670.9287,11002.4868,112.903797,0.00636030801,112.909761,6296.03455,7510.88867,1305.94285
0.04,1,37.4954146,37.5122602,75.0076709,13799.4452,11683.0551,11009.4608,112.499778,0.00637403647,112.50575,6290.37777,7517.60838,1328.55713
0.05,1,37.361555,37.3783599,74.7399109,13799.4452,11695.0786,11016.4429,112.098076,0.00638765588,112.104057,6284.86395,7524.24306,1351.2898
0.06,1,37.2284631,37.2452275,74.4736867,13799.4453,11707.0001,11023.432,111.698677,0.00640116719,111.704667,6279.4909,7530.79388,1374.12226
0.07,1,37.0961348,37.1128589,74.2089897,13799.4453,11718.8206,11030.427,111.301571,0.00641457134,111.307569,6274.25648,7537.26205,1397.03736
0.08,1,36.9645657,36.9812497,73.9458114,13799.4453,11730.5411,11037.4272,110.906742,0.00642786926,110.912749,6269.15853,7543.64871,1420.0193
0.09,1,36.8337516,36.8503957,73.6841433,13799.4453,11742.1625,11044.4314,110.51418,0.0064410619,110.520195,6264.19495,7549.95503,1443.05349
0.1,1,36.7036882,36.7202926,73.4239767,13799.4453,11753.6856,11051.4388,110.12387,0.00645415017,110.129893,6259.36364,7556.18213,1466.12649
0.11,1,36.5743712,36.5909361,73.1653031,13799.4453,11765.1116,11058.4486,109.7358,0.006467135,109.741831,6254.66256,7562.33112,1489.22593
0.12,1,36.4457962,36.4623219,72.9081139,13799.4454,11776.4413,11065.4598,109.349957,0.00648001732,109.355997,6250.08964,7568.4031,1512.34036
0.13,1,36.317959,36.3344456,72.6524004,13799.4454,11787.6755,11072.4716,108.966329,0.00649279803,108.972376,6245.6429,7574.39915,1535.45928
0.14,1,36.1908553,36.207303,72.398154,13799.4454,11798.8153,11079.4833,108.584901,0.00650547805,108.590956,6241.32032,7580.32033,1558.57297
0.15,1,36.0644806,36.0808897,72.1453661,13799.4454,11809.8616,11086.494,108.205661,0.00651805827,108.211725,6237.11996,7586.1677,1581.67249
0.16,1,35.9388308,35.9552014,71.8940279,13799.4455,11820.8151,11093.5031,107.828597,0.0065305396,107.834668,6233.03986,7591.94227,1604.74961
0.17,1,35.8139014,35.8302337,71.6441308,13799.4455,11831.6769,11100.5096,107.453695,0.00654292294,107.459773,6229.07811,7597.64508,1627.79673
0.18,1,35.6896882,35.7059824,71.3956662,13799.4455,11842.4478,11107.513,107.080942,0.00655520915,107.087028,6225.23282,7603.27711,1650.80685
0.19,1,35.5661867,35.582443,71.1486254,13799.4455,11853.1287,11114.5126,106.710325,0.00656739913,106.716418,6221.50212,7608.83935,1673.77354
0.2,1,35.4433928,35.4596114,70.9029998,13799.4456,11863.7204,11121.5076,106.341831,0.00657949376,106.347932,6217.88415,7614.33278,1696.69085
0.21,1,35.321302,35.337483,70.6587806,13799.4456,11874.2238,11128.4974,105.975447,0.00659149389,105.981556,6214.37711,7619.75835,1719.55332
0.22,1,35.1999099,35.2160537,70.4159593,13799.4456,11884.6399,11135.4813,105.61116,0.00660340039,105.617276,6210.9792,7625.117,1742.35593
0.23,1,35.0792124,35.0953191,70.1745271,13799.4457,11894.9693,11142.4589,105.248958,0.00661521413,105.255081,6207.68863,7630.40966,1765.09405
0.24,1,34.9592051,34.9752749,69.9344755,13799.4457,11905.2131,11149.4294,104.888827,0.00662693594,104.894958,6204.50366,7635.63724,1787.76342
0.25,1,34.8398837,34.8559167,69.6957959,13799.4457,11915.3719,11156.3923,104.530755,0.00663856668,104.536892,6201.42255,7640.80063,1810.36014
0.26,1,34.7212439,34.7372403,69.4584797,13799.4458,11925.4467,11163.347,104.174727,0.00665010718,104.180872,6198.44361,7645.90074,1832.88062
0.27,1,34.6032813,34.6192414,69.2225182,13799.4458,11935.4382,11170.293,103.820733,0.00666155827,103.826884,6195.56516,7650.93842,1855.32157
0.28,1,34.4859918,34.5019157,68.9879029,13799.4459,11945.3473,11177.2297,103.468758,0.00667292078,103.474916,6192.78552,7655.91454,1877.67995
0.29,1,34.369371,34.3852589,68.7546253,13799.4459,11955.1748,11184.1568,103.11879,0.00668419552,103.124955,6190.10307,7660.82994,1899.95302
0.3,1,34.2534146,34.2692668,68.5226768,13799.4459,11964.9214,11191.0735,102.770816,0.00669538331,102.776988,6187.51619,7665.68545,1922.13825
0.31,1,34.1381185,34.1539351,68.292049,13799.446,11974.588,11197.9796,102.424823,0.00670648496,102.431002,6185.02328,7670.48191,1944.23331
0.32,1,34.0234784,34.0392595,68.0627333,13799.446,11984.1754,11204.8745,102.080799,0.00671750125,102.086984,6182.62278,7675.22011,1966.2361
0.33,1,33.90949,33.9252359,67.8347213,13799.4461,11993.6842,11211.7577,101.738731,0.00672843298,101.744923,6180.31314,7679.90085,1988.14471
0.34,1,33.7961492,33.8118601,67.6080045,13799.4461,12003.1154,11218.629,101.398606,0.00673928095,101.404804,6178.09283,7684.52492,2009.9574
0.35,1,33.6834517,33.6991277,67.3825746,13799.4462,12012.4696,11225.4877,101.060412,0.00675004591,101.066617,6175.96034,7689.09308,2031.67258
0.36,1,33.5713934,33.5870347,67.1584233,13799.4462,12021.7477,11232.3336,100.724136,0.00676072866,100.730347,6173.91419,7693.6061,2053.28882
0.37,1,33.45997,33.4755768,66.935542,13799.4462,12030.9503,11239.1662,100.389766,0.00677132995,100.395983,6171.95291,7698.06474,2074.80484
0.38,1,33.3491775,33.3647499,66.7139226,13799.4463,12040.0782,11245.9852,100.057288,0.00678185054,100.063512,6170.07507,7702.46971,2096.21949
0.39,1,33.2390117,33.2545499,66.4935567,13799.4463,12049.1321,11252.7902,99.7266917,0.00679229118,99.7329211,6168.27924,7706.82177,2117.53174
0.4,1,33.1294684,33.1449726,66.2744361,13799.4464,12058.1128,11259.5808,99.3979633,0.00680265263,99.4041989,6166.56401,7711.12161,2138.74065
0.41,1,33.0205435,33.036014,66.0565526,13799.4464,12067.021,11266.3568,99.0710909,0.00681293561,99.0773325,6164.92801,7715.36994,2159.84543
0.42,1,32.912233,32.9276699,65.8398979,13799.4465,12075.8573,11273.1177,98.7460621,0.00682314086,98.7523097,6163.36987,7719.56747,2180.84536
0.43,1,32.8045328,32.8199362,65.624464,13799.4465,12084.6226,11279.8633,98.4228648,0.0068332691,98.4291184,6161.88826,7723.71487,2201.73981
0.44,1,32.6974388,32.7128089,65.4102427,13799.4466,12093.3175,11286.5933,98.1014868,0.00684332106,98.1077462,6160.48184,7727.81281,2222.52826
