n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.01,1,20.7365868,41.117797,20.3822253,13651.2785,12281.7118,13812.2157,0.477274844,61.8422188,61.48167,8914.46332,6181.2521,5958.49556
0.02,1,20.6629958,40.97056,20.3085785,13652.4714,12287.5123,13812.2062,0.476911997,61.6213814,61.260762,8911.50199,6186.11557,5965.40284
0.03,1,20.589924,40.8243618,20.2354512,13653.6517,12293.2699,13812.1969,0.476552862,61.4021021,61.0414125,8908.55934,6190.96062,5972.26565
0.04,1,20.5173661,40.6791915,20.1628382,13654.8195,12298.985,13812.1876,0.476197392,61.1843646,60.8236054,8905.63521,6195.78724,5979.08436
0.05,1,20.4453165,40.5350385,20.0907339,13655.975,12304.6581,13812.1785,0.475845544,60.9681529,60.6073246,8902.72943,6200.5954,5985.85939
0.06,1,20.3737702,40.3918923,20.0191333,13657.1183,12310.2896,13812.1694,0.475497275,60.7534512,60.3925542,8899.84184,6205.3851,5992.5911
0.07,1,20.3027219,40.2497425,19.948031,13658.2497,12315.8799,13812.1604,0.475152543,60.540244,60.1792788,8896.97227,6210.15634,5999.27989
0.08,1,20.2321665,40.1085788,19.8774221,13659.3694,12321.4296,13812.1515,0.474811305,60.3285159,59.967483,8894.12057,6214.90909,6005.92612
0.09,1,20.1620989,39.9683911,19.8073013,13660.4774,12326.9391,13812.1427,0.47447352,60.1182517,59.7571516,8891.28658,6219.64337,6012.53018
0.1,1,20.0925141,39.8291695,19.7376637,13661.5739,12332.4087,13812.134,0.474139148,59.9094365,59.5482696,8888.47014,6224.35918,6019.09243
0.11,1,20.0234073,39.6909041,19.6685045,13662.6591,12337.839,13812.1253,0.473808148,59.7020556,59.3408223,8885.67109,6229.05652,6025.61324
0.12,1,19.9547736,39.5535852,19.5998186,13663.7332,12343.2302,13812.1168,0.473480481,59.4960944,59.1347951,8882.88929,6233.7354,6032.09298
0.13,1,19.8866083,39.4172033,19.5316015,13664.7963,12348.5829,13812.1083,0.473156109,59.2915384,58.9301738,8880.12458,6238.39583,6038.53199
0.14,1,19.8189065,39.2817489,19.4638483,13665.8485,12353.8975,13812.0999,0.472834992,59.0883737,58.7269439,8877.37681,6243.03782,6044.93065
0.15,1,19.7516636,39.1472127,19.3965543,13666.8901,12359.1742,13812.0916,0.472517093,58.8865861,58.5250917,8874.64583,6247.6614,6051.28929
0.16,1,19.6848751,39.0135855,19.329715,13667.9211,12364.4136,13812.0834,0.472202375,58.6861619,58.3246034,8871.9315,6252.26659,6057.60827
0.17,1,19.6185363,38.8808582,19.2633259,13668.9417,12369.6161,13812.0752,0.471890801,58.4870875,58.1254651,8869.23368,6256.8534,6063.88793
0.18,1,19.5526429,38.7490218,19.1973823,13669.952,12374.7819,13812.0672,0.471582336,58.2893494,57.9276637,8866.55221,6261.42185,6070.12861
0.19,1,19.4871904,38.6180675,19.13188,13670.9522,12379.9115,13812.0592,0.471276942,58.0929343,57.7311856,8863.88696,6265.97199,6076.33066
0.2,1,19.4221744,38.4879866,19.0668146,13671.9425,12385.0053,13812.0513,0.470974587,57.8978293,57.536018,8861.23779,6270.50382,6082.49439
0.21,1,19.3575907,38.3587705,19.0021817,13672.9228,12390.0636,13812.0434,0.470675233,57.7040213,57.3421478,8858.60455,6275.0174,6088.62016
0.22,1,19.2934349,38.2304106,18.937977,13673.8935,12395.0868,13812.0357,0.470378849,57.5114976,57.1495623,8855.98712,6279.51274,6094.70828
0.23,1,19.2297029,38.1028986,18.8741965,13674.8546,12400.0753,13812.028,0.470085399,57.3202456,56.9582489,8853.38535,6283.98989,6100.75907
0.24,1,19.1663906,37.9762261,18.8108359,13675.8062,12405.0294,13812.0204,0.469794852,57.1302529,56.7681952,8850.79912,6288.44888,6106.77287
