n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.01,1,78.7552117,78.7600539,78.7341237,10156.8916,10157.8352,10158.1074,136.373355,136.41827,136.381749,57.0575507,54.4482286,56.6254881
0.02,1,78.4715997,78.4815342,78.4299415,10170.4628,10172.312,10172.8872,135.855299,135.944659,135.872524,113.701114,108.509435,112.811151
0.03,1,78.1870892,78.2023554,78.1253734,10184.2367,10186.9539,10187.8613,135.336142,135.469469,135.362616,169.931001,162.184477,168.558344
0.04,1,77.9017536,77.9225798,77.820487,10198.2038,10201.7519,10203.0194,134.816011,134.992818,134.852134,225.745511,215.472178,223.866438
0.05,1,77.6156649,77.6422687,77.5153484,10212.355,10216.6972,10218.3516,134.295031,134.514821,134.341182,281.143149,268.371525,278.734993
0.06,1,77.3288935,77.3614821,77.2100222,10226.6813,10231.7814,10233.8478,133.773321,134.035592,133.829864,336.122623,320.881673,333.16375
0.07,1,77.0415081,77.0802784,76.9045709,10241.174,10246.996,10249.4984,133.250999,133.555242,133.31828,390.682836,373.001932,387.152629
0.08,1,76.7535763,76.7987151,76.5990557,10255.8242,10262.3329,10265.2939,132.728182,133.07388,132.806527,444.82288,424.731766,440.701718
0.09,1,76.4651638,76.516848,76.293536,10270.6235,10277.7841,10281.2252,132.20498,132.591613,132.294702,498.542033,476.07079,493.811272
0.1,1,76.176335,76.234732,75.9880694,10285.5635,10293.3419,10297.2833,131.681503,132.108545,131.782895,551.839751,527.018764,546.481706
0.11,1,75.8871527,75.9524203,75.6827123,10300.6362,10308.9987,10313.4593,131.157858,131.624778,131.271198,604.715665,577.575587,598.713584
0.12,1,75.5976783,75.6699652,75.3775191,10315.8334,10324.7471,10329.7447,130.634148,131.140411,130.759698,657.169573,627.741296,650.507623
0.13,1,75.3079716,75.3874175,75.0725428,10331.1475,10340.5799,10346.1313,130.110474,130.655543,130.248481,709.201437,677.516058,701.864677
0.14,1,75.0180909,75.1048268,74.7678347,10346.5708,10356.4902,10362.6108,129.586934,130.170268,129.737629,760.811375,726.90017,752.785739
0.15,1,74.7280931,74.8222413,74.4634447,10362.0958,10372.4711,10379.1754,129.063623,129.684679,129.227222,811.999658,775.894051,803.271933
0.16,1,74.4380336,74.5397081,74.1594211,10377.7154,10388.5161,10395.8174,128.540633,129.198866,128.717339,862.766704,824.498237,853.324508
0.17,1,74.1479661,74.257273,73.8558107,10393.4223,10404.6187,10412.5295,128.018055,128.712919,128.208055,913.113072,872.713383,902.944833
