n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,1,77.2101,25.6472,52.6725,11340.3884,13534.6572,10959.8104,129.6555,102.2907,30.03111,333.14284,6370.4867,6597.3073
0.02,1,75.3776,25.156,51.5366,11348.8139,13533.4046,11084.9692,126.6473,99.86198,29.91359,650.46574,6270.6405,6697.5215
0.03,1,73.5528,24.678,50.403,11365.8841,13532.1841,11205.5081,123.6475,97.45056,29.79674,952.06988,6185.8282,6787.5538
0.04,1,71.7459,24.215,49.2785,11390.2086,13530.995,11320.9499,120.6734,95.06935,29.68056,1238.2317,6115.0962,6868.1978
0.05,1,69.9652,23.7681,48.1687,11420.5099,13529.8368,11431.006,117.7394,92.72884,29.56505,1509.3647,6057.3656,6940.2411
0.06,1,68.2177,23.3381,47.0782,11455.6369,13528.7088,11535.5395,114.857,90.43734,29.45019,1765.9845,6011.4868,7004.447
0.07,1,66.5084,22.9254,46.0103,11494.5706,13527.6107,11634.5321,112.0352,88.20124,29.336,2008.6782,5976.2871,7061.5435
0.08,1,64.8415,22.53,44.968,11536.4214,13526.5418,11728.0564,109.2809,86.02528,29.22247,2238.0792,5950.6074,7112.2149
0.09,1,63.2197,22.1519,43.9531,11580.4235,13525.5016,11816.2519,106.5992,83.91278,29.10959,2454.847,5933.3314,7157.0976
0.1,1,61.6451,21.7909,42.9671,11625.9245,13524.4896,11899.3057,103.9935,81.86587,28.99736,2659.6507,5923.4057,7196.7785
0.11,1,60.1187,21.4464,42.0109,11672.3752,13523.5053,11977.4373,101.466,79.88571,28.88578,2853.1565,5919.8529,7231.7947
0.12,1,58.6413,21.1179,41.0848,11719.3178,13522.5482,12050.886,99.0178,77.9726,28.7749,3036.0178,5921.7789,7262.6354
0.13,1,57.2126,20.8049,40.189,11766.3746,13521.6178,12119.9018,96.6492,76.1264,28.6646,3208.869,5928.3756,7289.7436
0.14,1,55.8325,20.5067,39.3234,11813.2375,13520.7137,12184.7377,94.3596,74.3461,28.5549,3372.3197,5938.9198,7313.5194
0.15,1,54.5002,20.2226,38.4876,11859.6576,13519.8353,12245.6451,92.1481,72.6307,28.4459,3526.9521,5952.7698,7334.3228
0.16,1,53.2147,19.952,37.681,11905.4372,13518.9821,12302.8691,90.0132,70.9785,28.3376,3673.3187,5969.3609,7352.4771
0.17,1,51.9748,19.694,36.9029,11950.4211,13518.1538,12356.6467,87.9531,69.3879,28.2298,3811.9419,5988.199,7368.2718
0.18,1,50.7794,19.4482,36.1527,11994.4901,13517.3499,12407.2041,85.9658,67.8569,28.1227,3943.3131,6008.8543,7381.9662
0.19,1,49.627,19.2136,35.4293,12037.555,13516.5698,12454.7563,84.0491,66.3835,28.0162,4067.8936,6030.9552,7393.7918
0.2,1,48.5161,18.9899,34.732,12079.5512,13515.8133,12499.5063,82.2007,64.9657,27.9104,4186.1154,6054.1814,7403.9556
0.21,1,47.4454,18.7762,34.0599,12120.4349,13515.0797,12541.6445,80.4182,63.6014,27.8052,4298.3824,6078.2586,7412.6422
0.22,1,46.4132,18.572,33.412,12160.1788,13514.3689,12581.3497,78.6991,62.2884,27.7006,4405.0711,6102.9525,7420.0161
0.23,1,45.4181,18.3768,32.7873,12198.7694,13513.6802,12618.7883,77.0412,61.0247,27.5966,4506.5328,6128.0639,7426.2242
0.24,1,44.4586,18.1899,32.185,12236.2039,13513.0133,12654.1158,75.4419,59.8082,27.4932,4603.0944,6153.4242,7431.3976
0.25,1,43.5333,18.011,31.6041,12272.4887,13512.3678,12687.4764,73.8989,58.6369,27.3904,4695.0605,6178.8916,7435.6529
0.26,1,42.6407,17.8394,31.0438,12307.6368,13511.7433,12719.0043,72.4099,57.5088,27.2882,4782.7143,6204.3467,7439.0943
0.27,1,41.7795,17.6749,30.5032,12341.6669,13511.1394,12748.8237,70.9727,56.4221,27.1867,4866.3192,6229.6905,7441.8146
0.28,1,40.9484,17.5168,29.9814,12374.6019,13510.5557,12777.0499,69.585,55.3748,27.0857,4946.1203,6254.8404,7443.8968
0.29,1,40.1459,17.3649,29.4776,12406.4677,13509.9919,12803.7898,68.2449,54.3654,26.9853,5022.3456,6279.7288,7445.4147
0.3,1,39.371,17.2187,28.9912,12437.2926,13509.4475,12829.1423,66.9502,53.392,26.8856,5095.2072,6304.3005,7446.4344
0.31,1,38.6224,17.078,28.5212,12467.1067,13508.9223,12853.1988,65.699,52.453,26.7864,5164.9024,6328.511,7447.0147
0.32,1,37.899,16.9424,28.0671,12495.9408,13508.4158,12876.0444,64.4895,51.547,26.6878,5231.6151,6352.3246,7447.2083
0.33,1,37.1997,16.8115,27.628,12523.8267,13507.9277,12897.7575,63.3198,50.6724,26.5898,5295.5164,6375.7138,7447.0621
0.34,1,36.5235,16.6852,27.2034,12550.796,13507.4576,12918.4108,62.1883,49.8279,26.4923,5356.7656,6398.6574,7446.6182
0.35,1,35.8693,16.563,26.7926,12576.8806,13507.0053,12938.0718,61.0934,49.012,26.3955,5415.5115,6421.1399,7445.914
