n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,1,76.2936,23.8601,54.5432,11368.4137,13450.3978,10945.7387,130.4561,99.01663,35.58826,493.77998,6208.8802,6523.4412
0.02,1,73.5528,23.3992,52.748,11391.0231,13448.4054,11129.2913,125.833,95.55973,35.33353,952.06988,6082.9201,6653.9953
0.03,1,70.8518,22.9634,50.9772,11429.8762,13446.5212,11301.4034,121.2713,92.16638,35.08162,1375.6466,5988.6315,6764.1878
0.04,1,68.2177,22.5533,49.249,11480.7739,13444.7414,11461.2249,116.8176,88.86892,34.8325,1765.9845,5922.0995,6856.6477
0.05,1,65.6695,22.1687,47.5766,11540.1723,13443.0626,11608.5913,112.505,85.68969,34.58615,2124.9995,5879.2242,6933.8332
0.06,1,63.2197,21.8084,45.9685,11605.1829,13441.4812,11743.8009,108.3555,82.64295,34.34255,2454.847,5856.0231,6997.9719
0.07,1,60.8758,21.4713,44.4298,11673.517,13439.9939,11867.4432,104.3821,79.73665,34.10166,2757.7746,5848.8262,7051.0386
0.08,1,58.6413,21.1557,42.9632,11743.4067,13438.5974,11980.2737,100.5915,76.97394,33.86345,3036.0178,5854.3818,7094.7552
0.09,1,56.5165,20.8599,41.5689,11813.5179,13437.2885,12083.1256,96.9848,74.3544,33.6279,3291.7323,5869.8944,7130.6059
0.1,1,54.5002,20.5822,40.2461,11882.8681,13436.0643,12176.8504,93.56,71.8752,33.395,3526.9521,5893.0163,7159.8585
0.11,1,52.5891,20.3209,38.9928,11950.7533,13434.9216,12262.2803,90.3122,69.5316,33.1647,3743.5668,5921.8128,7183.5891
0.12,1,50.7794,20.0747,37.8064,12016.6862,13433.8578,12340.2048,87.2349,67.318,32.9369,3943.3131,5954.7136,7202.7071
0.13,1,49.0665,19.8419,36.6839,12080.3456,13432.87,12411.3583,84.3207,65.2279,32.7117,4127.7735,5990.4606,7217.9785
0.14,1,47.4454,19.6214,35.6219,12141.5358,13431.9555,12476.4147,81.5615,63.2547,32.489,4298.3824,6028.0571,7230.0471
0.15,1,45.9111,19.4119,34.6172,12200.1548,13431.1118,12535.9863,78.9487,61.3914,32.2688,4456.4343,6066.7219,7239.4532
0.16,1,44.4586,19.2123,33.6664,12256.1691,13430.3363,12590.6256,76.4741,59.6314,32.0511,4603.0944,6105.849,7246.6498
0.17,1,43.083,19.0217,32.7661,12309.5953,13429.6266,12640.8287,74.1294,57.9681,31.8358,4739.4096,6144.9734,7252.0169
0.18,1,41.7795,18.8393,31.9133,12360.4847,13428.9803,12687.0397,71.9067,56.3953,31.6229,4866.3192,6183.7429,7255.8727
0.19,1,40.5436,18.6643,31.1048,12408.9129,13428.3953,12729.655,69.7984,54.907,31.4123,4984.6663,6221.8949,7258.4841
0.2,1,39.371,18.496,30.3379,12454.9712,13427.8692,12769.0282,67.7972,53.4976,31.2041,5095.2072,6259.2375,7260.0749
0.21,1,38.2577,18.3338,29.6098,12498.7608,13427.4,12805.4744,65.8964,52.1618,30.9982,5198.6206,6295.6342,7260.8326
0.22,1,37.1997,18.1772,28.918,12540.3879,13426.9857,12839.2746,64.0895,50.8948,30.7946,5295.5164,6330.9919,7260.9148
0.23,1,36.1937,18.0257,28.2602,12579.9605,13426.6242,12870.679,62.3706,49.6918,30.5932,5386.4426,6365.2515,7260.4533
0.24,1,35.2363,17.8789,27.634,12617.5865,13426.3136,12899.9109,60.734,48.5487,30.3941,5471.8927,6398.3796,7259.559
0.25,1,34.3243,17.7364,27.0375,12653.3713,13426.0521,12927.1697,59.1747,47.4615,30.1972,5552.3113,6430.363,7258.3248
0.26,1,33.455,17.5979,26.4688,12687.4172,13425.8379,12952.6334,57.6878,46.4264,30.0024,5628.0996,6461.2036,7256.8286
0.27,1,32.6257,17.4631,25.926,12719.8223,13425.6692,12976.4614,56.2687,45.4402,29.8098,5699.6202,6490.9148,7255.1357
0.28,1,31.8338,17.3317,25.4076,12750.6804,13425.5444,12998.7963,54.9133,44.4997,29.6193,5767.201,6519.5183,7253.3008
0.29,1,31.0772,17.2035,24.9121,12780.0805,13425.4619,13019.7663,53.6178,43.6019,29.4309,5831.1394,6547.042,7251.3695
0.3,1,30.3537,17.0782,24.4379,12808.1069,13425.4201,13039.4862,52.3784,42.7442,29.2445,5891.7052,6573.5181,7249.38
0.31,1,29.6612,16.9558,23.9838,12834.8389,13425.4175,13058.0596,51.1919,41.924,29.0602,5949.1437,6598.9816,7247.3639
0.32,1,28.998,16.8359,23.5487,12860.3513,13425.4526,13075.5796,50.0552,41.1391,28.8779,6003.6782,6623.4694,7245.3477
0.33,1,28.3624,16.7185,23.1313,12884.7143,13425.524,13092.1304,48.9653,40.3873,28.6976,6055.5123,6647.0192,7243.3529
0.34,1,27.7527,16.6034,22.7306,12907.9939,13425.6304,13107.7878,47.9196,39.6665,28.5192,6104.8319,6669.6692,7241.3976
0.35,1,27.1675,16.4905,22.3457,12930.2517,13425.7705,13122.6208,46.9156,38.975,28.3427,6151.8069,6691.4571,7239.4963
0.36,1,26.6054,16.3796,21.9756,12951.5455,13425.9429,13136.6915,45.951,38.3111,28.1682,6196.5931,6712.4201,7237.6608
0.37,1,26.0652,16.2707,21.6195,12971.9296,13426.1465,13150.0567,45.0236,37.6731,27.9955,6239.3332,6732.5948,7235.9005
0.38,1,25.5456,16.1637,21.2766,12991.4546,13426.3801,13162.7677,44.1313,37.0597,27.8247,6280.1583,6752.0165,7234.2231
0.39,1,25.0455,16.0585,20.9463,13010.1679,13426.6424,13174.8715,43.2724,36.4693,27.6557,6319.189,6770.7194,7232.6343
0.4,1,24.564,15.9549,20.6278,13028.114,13426.9325,13186.4106,42.445,35.9007,27.4886,6356.5365,6788.7365,7231.1384
0.41,1,24.0999,15.853,20.3204,13045.3344,13427.2493,13197.4241,41.6475,35.3528,27.3232,6392.303,6806.0993,7229.7386
0.42,1,23.6526,15.7527,20.0237,13061.8679,13427.5916,13207.9476,40.8783,34.8245,27.1595,6426.5831,6822.8382,7228.437
0.43,1,23.2209,15.6539,19.7371,13077.7512,13427.9585,13218.0138,40.1361,34.3146,26.9976,6459.4643,6838.9822,7227.235
0.44,1,22.8043,15.5565,19.4599,13093.0182,13428.3491,13227.6527,39.4195,33.8222,26.8374,6491.0274,6854.5587,7226.1331
