n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.01,1,75.5977,75.67,75.3775,10315.8334,10324.7471,10329.7447,130.6341,131.1404,130.7597,657.1696,627.7413,650.5076
0.02,1,72.1215,72.2866,71.7457,10505.2617,10518.4514,10530.8952,124.3785,125.3145,124.6657,1253.833,1199.4033,1238.3221
0.03,1,68.6967,68.9619,68.2177,10700.3406,10714.3072,10735.0054,118.2679,119.5558,118.7302,1791.3796,1716.4593,1766.1425
0.04,1,65.3833,65.7474,64.8417,10893.0585,10905.4191,10934.1267,112.398,113.9654,113.0334,2273.2739,2182.0742,2238.3338
0.05,1,62.2194,62.6756,61.6456,11078.2835,11087.5791,11123.4707,106.8259,108.609,107.6229,2704.0982,2600.3365,2660.0376
0.06,1,59.2263,59.7649,58.642,11253.0536,11258.515,11300.5128,101.5802,103.5248,102.5223,3088.8697,2975.705,3036.5765
0.07,1,56.4128,57.0232,55.8336,11415.9311,11417.2669,11464.2436,96.6698,98.7309,97.7383,3432.5986,3312.6429,3373.0909
0.08,1,53.7798,54.4513,53.2159,11566.4886,11563.7177,11614.6089,92.0902,94.2315,93.2664,3740.028,3615.3993,3674.3428
0.09,1,51.3226,52.045,50.7808,11704.9329,11698.2611,11752.1192,87.8288,90.0213,89.0949,4015.502,3887.891,3944.6284
0.1,1,49.0333,49.7975,48.5176,11831.8414,11821.5771,11877.589,83.8682,86.0891,85.2081,4262.9135,4133.6537,4187.7582
0.11,1,46.9021,47.6998,46.4145,11947.9873,11934.4853,11991.9711,80.1887,82.42,81.588,4485.7026,4355.8342,4407.0747
0.12,1,44.9182,45.7424,44.4598,12054.2266,12037.8523,12096.2541,76.7698,78.9978,78.216,4686.8812,4557.2079,4605.4894
0.13,1,43.071,43.9156,42.6415,12151.4279,12132.5364,12191.4025,73.591,75.8052,75.0734,4869.0714,4740.2071,4785.5283
0.14,1,41.3499,42.2096,40.9487,12240.4312,12219.355,12278.3247,70.633,72.8253,72.1422,5034.5486,4906.9569,4949.3783
0.15,1,39.7447,40.6151,39.3708,12322.0252,12299.0684,12357.8566,67.8772,70.0418,69.4056,5185.2841,5059.3093,5098.9318
0.16,1,38.246,39.1235,37.8981,12396.9365,12372.3731,12430.7569,65.3067,67.4393,66.8477,5322.9851,5198.8783,5235.8265
0.17,1,36.845,37.7265,36.5217,12465.8261,12439.8998,12497.7074,62.9058,65.0033,64.4538,5449.1312,5327.07,5361.4819
0.18,1,35.5337,36.4165,35.2336,12529.2906,12502.2166,12559.3171,60.66,62.7204,62.2105,5565.0065,5445.1113,5477.1302
0.19,1,34.3047,35.1867,34.0263,12587.8651,12559.8323,12616.1281,58.5563,60.5784,60.1056,5671.727,5554.0735,5583.8433
0.2,1,33.1511,34.0306,32.8931,12642.0282,12613.2015,12668.6217,56.5829,58.5659,58.1278,5770.2648,5654.8943,5682.5556
0.21,1,32.067,32.9425,31.8279,12692.2069,12662.73,12717.225,54.729,56.6726,56.2669,5861.4689,5748.3958,5774.0841
0.22,1,31.0466,31.9169,30.8252,12738.7817,12708.7795,12762.3166,52.9849,54.8893,54.5137,5946.082,5835.3005,5859.1446
0.23,1,30.085,30.9492,29.8801,12782.0918,12751.6725,12804.2324,51.3417,53.2073,52.8598,6024.7561,5916.2448,5938.3663
0.24,1,29.1775,30.0349,28.988,12822.4395,12791.6966,12843.2707,49.7915,51.6188,51.2975,6098.0646,5991.7905,6012.3033
0.25,1,28.3201,29.1699,28.1448,12860.0944,12829.1088,12879.6968,48.327,50.1169,49.8198,6166.5133,6062.4348,6081.4454
0.26,1,27.5088,28.3506,27.3469,12895.2971,12864.1387,12913.7466,46.9417,48.6949,48.4205,6230.5498,6128.6189,6146.2263
0.27,1,26.7403,27.5738,26.5908,12928.2629,12896.9918,12945.6309,45.6296,47.3471,47.0937,6290.5707,6190.7351,6207.0312
