n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.01,1,78.1787,22.3256,65.0231,11413.5355,13045.9749,10510.1539,142.0502,94.82432,57.78331,167.47188,5785.3497,5878.1951
0.02,1,77.3138,22.5785,64.1885,11411.9686,13051.6328,10579.4935,140.2933,94.09108,57.2753,331.27784,5746.1915,5926.1559
0.03,1,76.4447,22.8112,63.3591,11412.9432,13057.2106,10647.9239,138.5381,93.34194,56.77711,491.39157,5710.7115,5972.2197
0.04,1,75.5733,23.0245,62.5358,11416.2852,13062.7112,10715.3405,136.7873,92.57902,56.28839,647.79864,5678.7998,6016.4423
0.05,1,74.7008,23.2191,61.7194,11421.8231,13068.1374,10781.6536,135.0432,91.80434,55.80883,800.4975,5650.3353,6058.8816
0.06,1,73.8289,23.396,60.9108,11429.3891,13073.4916,10846.7878,133.3081,91.01978,55.33814,949.49828,5625.1873,6099.5974
0.07,1,72.9588,23.5559,60.1106,11438.8199,13078.7761,10910.6805,131.5842,90.22715,54.87602,1094.8216,5603.2176,6138.6499
0.08,1,72.0916,23.6996,59.3194,11449.9582,13083.9931,10973.2807,129.8732,89.4281,54.4222,1236.4975,5584.2827,6176.1002
0.09,1,71.2285,23.828,58.5378,11462.6525,13089.1443,11034.5486,128.1769,88.62419,53.97642,1374.5642,5568.2349,6212.0095
0.1,1,70.3704,23.9418,57.7662,11476.7584,13094.2317,11094.4539,126.4966,87.81685,53.53842,1509.0674,5554.9244,6246.4383
0.11,1,69.5183,24.0417,57.0051,11492.1384,13099.2567,11152.9752,124.8338,87.00744,53.10797,1640.059,5544.2005,6279.4468
0.12,1,68.6729,24.1286,56.2548,11508.6624,13104.221,11210.0991,123.1897,86.19718,52.68482,1767.5962,5535.9129,6311.0942
0.13,1,67.8351,24.203,55.5155,11526.2075,13109.126,11265.819,121.5652,85.38721,52.26878,1891.7412,5529.9132,6341.4384
0.14,1,67.0053,24.2658,54.7876,11544.6585,13113.9729,11320.1346,119.9612,84.57857,51.85962,2012.5595,5526.0552,6370.5362
0.15,1,66.1842,24.3174,54.0712,11563.9074,13118.7629,11373.051,118.3786,83.7722,51.45714,2130.1203,5524.1964,6398.4428
0.16,1,65.3723,24.3587,53.3664,11583.8535,13123.4972,11424.5781,116.818,82.96897,51.06117,2244.495,5524.1983,6425.2117
0.17,1,64.5699,24.3901,52.6734,11604.4031,13128.1769,11474.7298,115.2798,82.16967,50.6715,2355.7568,5525.9271,6450.8949
0.18,1,63.7776,24.4123,51.9923,11625.4692,13132.8028,11523.5235,113.7646,81.375,50.28798,2463.9808,5529.254,6475.5424
0.19,1,62.9955,24.4257,51.3229,11646.9716,13137.376,11570.9796,112.2726,80.58561,49.91043,2569.2426,5534.0559,6499.2025
0.2,1,62.224,24.431,50.6655,11668.8361,13141.8974,11617.121,110.8042,79.80205,49.5387,2671.6185,5540.2149,6521.9217
0.21,1,61.4632,24.4287,50.0198,11690.9946,13146.3677,11661.9726,109.3594,79.02485,49.17262,2771.1851,5547.6194,6543.7446
0.22,1,60.7134,24.4191,49.386,11713.3845,13150.7878,11705.5611,107.9385,78.25445,48.81207,2868.0186,5556.1634,6564.714
0.23,1,59.9746,24.4029,48.7638,11735.9487,13155.1585,11747.9144,106.5415,77.49125,48.45688,2962.1952,5565.7466,6584.8707
0.24,1,59.247,24.3803,48.1533,11758.6349,13159.4805,11789.0615,105.1683,76.7356,48.10694,3053.79,5576.2748,6604.254
0.25,1,58.5306,24.3518,47.5542,11781.3957,13163.7544,11829.0322,103.8189,75.9878,47.76211,3142.8775,5587.6592,6622.9013
0.26,1,57.8255,24.3178,46.9666,11804.1879,13167.9811,11867.8567,102.4931,75.24811,47.42227,3229.5309,5599.8169,6640.8482
0.27,1,57.1316,24.2787,46.3901,11826.9724,13172.1611,11905.5656,101.1909,74.51676,47.0873,3313.8226,5612.6699,6658.1286
0.28,1,56.449,24.2347,45.8248,11849.7141,13176.2952,11942.1897,99.9121,73.7939,46.7571,3395.8233,5626.1458,6674.7751
0.29,1,55.7776,24.1863,45.2704,11872.3812,13180.3838,11977.7596,98.6564,73.0798,46.4315,3475.6024,5640.1769,6690.8183
0.3,1,55.1174,24.1337,44.7267,11894.9453,13184.4278,12012.306,97.4236,72.3744,46.1105,3553.2279,5654.7004,6706.2877
0.31,1,54.4682,24.0773,44.1936,11917.3808,13188.4275,12045.8591,96.2134,71.678,45.7939,3628.766,5669.658,6721.211
0.32,1,53.8301,24.0172,43.671,11939.6652,13192.3838,12078.4488,95.0255,70.9905,45.4816,3702.2815,5684.9955,6735.6147
0.33,1,53.2028,23.9538,43.1585,11961.7782,13196.297,12110.1048,93.8597,70.312,45.1736,3773.8373,5700.6629,6749.5239
0.34,1,52.5863,23.8874,42.6561,11983.7022,13200.1679,12140.8559,92.7156,69.6426,44.8698,3843.4948,5716.6142,6762.9625
0.35,1,51.9804,23.818,42.1636,12005.4215,13203.9969,12170.7306,91.5928,68.9822,44.57,3911.3137,5732.8066,6775.9532
0.36,1,51.3851,23.746,41.6807,12026.9225,13207.7846,12199.7568,90.4911,68.3309,44.2741,3977.3519,5749.2009,6788.5173
0.37,1,50.8002,23.6716,41.2072,12048.1933,13211.5316,12227.9615,89.41,67.6887,43.9822,4041.6656,5765.7612,6800.6752
0.38,1,50.2255,23.5949,40.743,12069.2237,13215.2384,12255.3714,88.3493,67.0554,43.6941,4104.3093,5782.4541,6812.4463
0.39,1,49.6608,23.5162,40.2879,12090.0051,13218.9055,12282.0122,87.3085,66.4311,43.4097,4165.3359,5799.2495,6823.8488
0.4,1,49.1061,23.4355,39.8417,12110.53,13222.5334,12307.909,86.2873,65.8157,43.129,4224.7967,5816.1194,6834.9
0.41,1,48.5612,23.3531,39.4041,12130.7926,13226.1227,12333.0862,85.2853,65.2091,42.8519,4282.7411,5833.0386,6845.6165
0.42,1,48.0259,23.2692,38.9751,12150.7876,13229.6739,12357.5675,84.3021,64.6113,42.5783,4339.2173,5849.9837,6856.0137
0.43,1,47.5,23.1837,38.5543,12170.5113,13233.1875,12381.3759,83.3374,64.0222,42.3081,4394.2715,5866.9337,6866.1065
0.44,1,46.9834,23.097,38.1417,12189.9606,13236.6639,12404.5336,82.3908,63.4416,42.0413,4447.9488,5883.8694,6875.9088
0.45,1,46.4759,23.0091,37.737,12209.1334,13240.1037,12427.0622,81.462,62.8696,41.7778,4500.2926,5900.7733,6885.434
0.46,1,45.9774,22.9201,37.3401,12228.0281,13243.5074,12448.9824,80.5505,62.3059,41.5176,4551.3447,5917.6296,6894.6945
0.47,1,45.4876,22.8301,36.9507,12246.644,13246.8754,12470.3145,79.6559,61.7506,41.2606,4601.1457,5934.424,6903.7022
0.48,1,45.0065,22.7393,36.5688,12264.9811,13250.2082,12491.078,78.7781,61.2034,41.0067,4649.7348,5951.1436,6912.4685
0.49,1,44.5337,22.6477,36.1941,12283.0395,13253.5063,12511.2917,77.9165,60.6643,40.7559,4697.1498,5967.7768,6921.0041
0.5,1,44.0693,22.5554,35.8265,12300.8203,13256.7702,12530.9737,77.0708,60.1332,40.5081,4743.4271,5984.3131,6929.3191
0.51,1,43.613,22.4626,35.4657,12318.3248,13260.0002,12550.1416,76.2408,59.61,40.2632,4788.6022,6000.7433,6937.4232
0.52,1,43.1646,22.3692,35.1117,12335.5546,13263.197,12568.8123,75.4259,59.0944,40.0213,4832.7089,6017.059,6945.3254
0.53,1,42.7241,22.2754,34.7643,12352.5117,13266.3608,12587.0023,74.626,58.5865,39.7822,4875.7802,6033.2528,6953.0345
0.54,1,42.2911,22.1813,34.4233,12369.1985,13269.4923,12604.7272,73.8407,58.0861,39.546,4917.8479,6049.3182,6960.5585
0.55,1,41.8657,22.0869,34.0886,12385.6175,13272.5917,12622.0023,73.0697,57.5931,39.3124,4958.9424,6065.2494,6967.9055
0.56,1,41.4475,21.9922,33.76,12401.7716,13275.6595,12638.8423,72.3126,57.1074,39.0816,4999.0935,6081.0413,6975.0826
0.57,1,41.0366,21.8973,33.4374,12417.6638,13278.6962,12655.2612,71.5691,56.6288,38.8535,5038.3296,6096.6896,6982.097
0.58,1,40.6326,21.8023,33.1206,12433.2973,13281.7022,12671.2727,70.839,56.1572,38.628,5076.6782,6112.1905,6988.9553
